#  lambda (microns),     nu*Inu,      uncertainty
#  AROME
      172.282   1.9592465e-08   1.6958392e-09
      170.946   1.9329716e-08   2.3011680e-09
      169.631   2.0504902e-08   3.2925195e-09
      168.336   2.1092496e-08   2.9966867e-09
      167.061   2.1471444e-08   2.6121937e-09
      165.805   2.1188732e-08   1.9687358e-09
      164.568   2.0962101e-08   2.6421263e-09
      163.349   2.1571989e-08   2.6356652e-09
      162.148   2.2475424e-08   3.0912592e-09
      160.964   2.2736327e-08   2.7117217e-09
      159.798   2.2562196e-08   1.9585361e-09
      158.648   2.2661387e-08   1.9838531e-09
      157.515   2.1734435e-08   2.0249358e-09
      156.398   2.1035623e-08   3.1550821e-09
      155.296   2.0583860e-08   2.3156378e-09
      154.210   2.3153749e-08   1.4875532e-09
      153.139   2.6544308e-08   2.4877311e-09
      152.083   2.6352160e-08   3.3543616e-09
      151.042   2.4249112e-08   3.5615672e-09
      150.014   2.4148110e-08   2.8804730e-09
      149.001   2.6912814e-08   3.2578967e-09
      148.001   2.8606043e-08   5.8224626e-09
      147.014   2.6670053e-08   5.5008813e-09
      146.040   2.6274286e-08   5.6707089e-09
      145.079   2.8949382e-08   6.0462885e-09
      144.131   2.8586444e-08   7.7625594e-09
      143.195   2.7949727e-08   7.9944871e-09
      142.271   2.3481165e-08   4.2183111e-09
      141.359   2.3230237e-08   2.1979288e-09
      140.459   2.1071004e-08   4.1323649e-09
      139.570   1.8357170e-08   5.7210643e-09
      138.692   2.0270397e-08   4.7874737e-09
      137.825   2.0508340e-08   4.1043859e-09
      136.969   2.2776807e-08   5.6995588e-09
      136.124   2.3615156e-08   4.4241791e-09
      135.289   2.3103802e-08   2.4804538e-09
      134.464   2.8286176e-08   2.6527692e-09
      133.649   2.8646290e-08   1.0239507e-09
      132.844   2.8162807e-08   1.4093501e-09
      132.048   2.8397600e-08   2.9558441e-09
      131.262   2.4755596e-08   4.8608309e-09
      130.486   2.4434205e-08   9.4504789e-09
      129.718   2.2236799e-08   8.6898335e-09
      128.959   1.9915435e-08   3.6620974e-09
      128.210   2.1753715e-08   8.6115061e-09
      127.469   2.1296192e-08   1.4602365e-08
      126.736   2.4901190e-08   2.0697628e-08
#  WMAP
      4918.03   8.2390328e-14   4.9048618e-15
      3191.49   4.0049704e-13   1.5202856e-14
# DustEM: Reference observed SED for the DHGL medium
#         see Compiegne et al., 2011, A&A, 525, A103
#  Unit is 10^-20 W m-2 sr-1 H-1
#  
