#WAVE       SPEC        ERROR
6.08780e+01 1.52884e-01 1.52884e-02
6.13906e+01 1.56775e-01 1.56775e-02
6.19076e+01 1.60765e-01 1.60765e-02
6.24288e+01 1.64854e-01 1.64854e-02
6.29545e+01 1.69045e-01 1.69045e-02
6.34846e+01 1.73339e-01 1.73339e-02
6.40192e+01 1.77739e-01 1.77739e-02
6.45582e+01 1.82246e-01 1.82246e-02
6.51018e+01 1.86861e-01 1.86861e-02
6.56500e+01 1.91589e-01 1.91589e-02
6.62028e+01 1.96428e-01 1.96428e-02
6.67603e+01 2.01382e-01 2.01382e-02
6.73224e+01 2.06453e-01 2.06453e-02
6.78893e+01 2.11642e-01 2.11642e-02
6.84610e+01 2.16951e-01 2.16951e-02
6.90374e+01 2.22381e-01 2.22381e-02
6.96187e+01 2.27934e-01 2.27934e-02
7.02050e+01 2.33613e-01 2.33613e-02
7.07961e+01 2.39419e-01 2.39419e-02
7.13922e+01 2.45352e-01 2.45352e-02
7.19934e+01 2.51414e-01 2.51414e-02
7.25996e+01 2.57609e-01 2.57609e-02
7.32109e+01 2.63937e-01 2.63937e-02
7.38274e+01 2.70398e-01 2.70398e-02
7.44490e+01 2.76993e-01 2.76993e-02
7.50759e+01 2.83728e-01 2.83728e-02
7.57081e+01 2.90597e-01 2.90597e-02
7.63456e+01 2.97608e-01 2.97608e-02
7.69884e+01 3.04756e-01 3.04756e-02
7.76367e+01 3.12046e-01 3.12046e-02
7.82905e+01 3.19477e-01 3.19477e-02
7.89497e+01 3.27052e-01 3.27052e-02
7.96145e+01 3.34766e-01 3.34766e-02
8.02849e+01 3.42628e-01 3.42628e-02
8.09609e+01 3.50631e-01 3.50631e-02
8.16426e+01 3.58776e-01 3.58776e-02
8.23301e+01 3.67067e-01 3.67067e-02
8.30233e+01 3.75503e-01 3.75503e-02
8.37224e+01 3.84080e-01 3.84080e-02
8.44274e+01 3.92803e-01 3.92803e-02
8.51383e+01 4.01668e-01 4.01668e-02
8.58552e+01 4.10675e-01 4.10675e-02
8.65781e+01 4.19825e-01 4.19825e-02
8.73071e+01 4.29114e-01 4.29114e-02
8.80423e+01 4.38543e-01 4.38543e-02
8.87837e+01 4.48108e-01 4.48108e-02
8.95312e+01 4.57812e-01 4.57812e-02
9.02851e+01 4.67651e-01 4.67651e-02
9.10454e+01 4.77621e-01 4.77621e-02
9.18120e+01 4.87724e-01 4.87724e-02
9.25851e+01 4.97952e-01 4.97952e-02
9.33647e+01 5.08309e-01 5.08309e-02
9.41509e+01 5.18788e-01 5.18788e-02
9.49436e+01 5.29386e-01 5.29386e-02
9.57431e+01 5.40100e-01 5.40100e-02
9.65493e+01 5.50928e-01 5.50928e-02
9.73623e+01 5.61867e-01 5.61867e-02
9.81821e+01 5.72909e-01 5.72909e-02
9.90088e+01 5.84054e-01 5.84054e-02
9.98425e+01 5.95293e-01 5.95293e-02
1.00683e+02 6.06622e-01 6.06622e-02
1.01531e+02 6.18044e-01 6.18044e-02
1.02386e+02 6.29543e-01 6.29543e-02
1.03248e+02 6.41118e-01 6.41118e-02
1.04117e+02 6.52758e-01 6.52758e-02
1.04994e+02 6.64470e-01 6.64470e-02
1.05878e+02 6.76234e-01 6.76234e-02
1.06770e+02 6.88053e-01 6.88053e-02
1.07669e+02 6.99913e-01 6.99913e-02
1.08575e+02 7.11807e-01 7.11807e-02
1.09490e+02 7.23737e-01 7.23737e-02
1.10412e+02 7.35680e-01 7.35680e-02
1.11341e+02 7.47634e-01 7.47634e-02
1.12279e+02 7.59603e-01 7.59603e-02
1.13224e+02 7.71559e-01 7.71559e-02
1.14178e+02 7.83506e-01 7.83506e-02
1.15139e+02 7.95428e-01 7.95428e-02
1.16109e+02 8.07323e-01 8.07323e-02
1.17086e+02 8.19170e-01 8.19170e-02
1.18072e+02 8.30971e-01 8.30971e-02
1.19066e+02 8.42713e-01 8.42713e-02
1.20069e+02 8.54382e-01 8.54382e-02
1.21080e+02 8.65970e-01 8.65970e-02
1.22100e+02 8.77468e-01 8.77468e-02
1.23128e+02 8.88860e-01 8.88860e-02
1.24165e+02 9.00140e-01 9.00140e-02
1.25210e+02 9.11291e-01 9.11291e-02
1.26264e+02 9.22306e-01 9.22306e-02
1.27328e+02 9.33179e-01 9.33179e-02
1.28400e+02 9.43888e-01 9.43888e-02
1.29481e+02 9.54426e-01 9.54426e-02
1.30571e+02 9.64782e-01 9.64782e-02
1.31671e+02 9.74943e-01 9.74943e-02
1.32779e+02 9.84897e-01 9.84897e-02
1.33897e+02 9.94632e-01 9.94632e-02
