# wave A(l)/A(V) unc
1.60535e-01 2.88732e+00 1.44366e-01
1.60721e-01 2.88585e+00 1.44292e-01
1.60908e-01 2.88438e+00 1.44219e-01
1.61095e-01 2.88291e+00 1.44146e-01
1.61282e-01 2.88144e+00 1.44072e-01
1.61469e-01 2.88030e+00 1.44015e-01
1.61657e-01 2.87918e+00 1.43959e-01
1.61844e-01 2.87806e+00 1.43903e-01
1.62032e-01 2.87693e+00 1.43847e-01
1.62221e-01 2.87581e+00 1.43790e-01
1.62409e-01 2.87468e+00 1.43734e-01
1.62598e-01 2.87355e+00 1.43677e-01
1.62787e-01 2.87242e+00 1.43621e-01
1.62976e-01 2.87129e+00 1.43564e-01
1.63165e-01 2.87016e+00 1.43508e-01
1.63355e-01 2.86902e+00 1.43451e-01
1.63544e-01 2.86789e+00 1.43394e-01
1.63734e-01 2.86675e+00 1.43337e-01
1.63924e-01 2.86561e+00 1.43281e-01
1.64115e-01 2.86477e+00 1.43238e-01
1.64305e-01 2.86394e+00 1.43197e-01
1.64496e-01 2.86311e+00 1.43155e-01
1.64687e-01 2.86228e+00 1.43114e-01
1.64879e-01 2.86145e+00 1.43072e-01
1.65070e-01 2.86062e+00 1.43031e-01
1.65262e-01 2.85979e+00 1.42989e-01
1.65454e-01 2.85895e+00 1.42948e-01
1.65646e-01 2.85812e+00 1.42906e-01
1.65838e-01 2.85728e+00 1.42864e-01
1.66031e-01 2.85645e+00 1.42822e-01
1.66224e-01 2.85561e+00 1.42780e-01
1.66417e-01 2.85477e+00 1.42738e-01
1.66610e-01 2.85393e+00 1.42696e-01
1.66804e-01 2.85325e+00 1.42662e-01
1.66997e-01 2.85263e+00 1.42632e-01
1.67191e-01 2.85201e+00 1.42601e-01
1.67386e-01 2.85140e+00 1.42570e-01
1.67580e-01 2.85078e+00 1.42539e-01
1.67775e-01 2.85016e+00 1.42508e-01
1.67970e-01 2.84954e+00 1.42477e-01
1.68165e-01 2.84892e+00 1.42446e-01
1.68360e-01 2.84830e+00 1.42415e-01
1.68556e-01 2.84767e+00 1.42384e-01
1.68751e-01 2.84705e+00 1.42353e-01
1.68947e-01 2.84643e+00 1.42321e-01
1.69144e-01 2.84580e+00 1.42290e-01
1.69340e-01 2.84518e+00 1.42259e-01
1.69537e-01 2.84461e+00 1.42231e-01
1.69734e-01 2.84425e+00 1.42212e-01
1.69931e-01 2.84388e+00 1.42194e-01
1.70128e-01 2.84352e+00 1.42176e-01
1.70326e-01 2.84316e+00 1.42158e-01
1.70524e-01 2.84279e+00 1.42140e-01
1.70722e-01 2.84243e+00 1.42121e-01
1.70920e-01 2.84206e+00 1.42103e-01
1.71119e-01 2.84169e+00 1.42085e-01
1.71317e-01 2.84132e+00 1.42066e-01
1.71516e-01 2.84096e+00 1.42048e-01
1.71715e-01 2.84059e+00 1.42030e-01
1.71915e-01 2.84022e+00 1.42011e-01
1.72115e-01 2.83985e+00 1.41993e-01
1.72315e-01 2.83948e+00 1.41974e-01
1.72515e-01 2.83929e+00 1.41964e-01
1.72715e-01 2.83927e+00 1.41963e-01
1.72916e-01 2.83924e+00 1.41962e-01
1.73116e-01 2.83922e+00 1.41961e-01
1.73318e-01 2.83920e+00 1.41960e-01
1.73519e-01 2.83917e+00 1.41958e-01
1.73720e-01 2.83915e+00 1.41957e-01
1.73922e-01 2.83912e+00 1.41956e-01
1.74124e-01 2.83910e+00 1.41955e-01
1.74326e-01 2.83908e+00 1.41954e-01
1.74529e-01 2.83905e+00 1.41952e-01
1.74732e-01 2.83902e+00 1.41951e-01
1.74935e-01 2.83900e+00 1.41950e-01
1.75138e-01 2.83898e+00 1.41949e-01
1.75341e-01 2.83895e+00 1.41948e-01
1.75545e-01 2.83911e+00 1.41956e-01
1.75749e-01 2.83944e+00 1.41972e-01
1.75953e-01 2.83977e+00 1.41988e-01
1.76157e-01 2.84010e+00 1.42005e-01
1.76362e-01 2.84042e+00 1.42021e-01
1.76567e-01 2.84076e+00 1.42038e-01
1.76772e-01 2.84108e+00 1.42054e-01
1.76977e-01 2.84141e+00 1.42071e-01
1.77183e-01 2.84175e+00 1.42087e-01
1.77389e-01 2.84207e+00 1.42104e-01
1.77595e-01 2.84241e+00 1.42120e-01
1.77801e-01 2.84274e+00 1.42137e-01
1.78007e-01 2.84307e+00 1.42153e-01
1.78214e-01 2.84340e+00 1.42170e-01
1.78421e-01 2.84373e+00 1.42187e-01
1.78628e-01 2.84420e+00 1.42210e-01
1.78836e-01 2.84503e+00 1.42251e-01
1.79044e-01 2.84586e+00 1.42293e-01
1.79252e-01 2.84669e+00 1.42334e-01
1.79460e-01 2.84752e+00 1.42376e-01
1.79668e-01 2.84835e+00 1.42417e-01
1.79877e-01 2.84918e+00 1.42459e-01
1.80086e-01 2.85001e+00 1.42501e-01
1.80295e-01 2.85085e+00 1.42542e-01
1.80504e-01 2.85168e+00 1.42584e-01
1.80714e-01 2.85252e+00 1.42626e-01
1.80924e-01 2.85336e+00 1.42668e-01
1.81134e-01 2.85419e+00 1.42710e-01
1.81344e-01 2.85503e+00 1.42752e-01
1.81555e-01 2.85587e+00 1.42794e-01
1.81766e-01 2.85671e+00 1.42836e-01
1.81977e-01 2.85801e+00 1.42900e-01
1.82188e-01 2.85945e+00 1.42973e-01
1.82400e-01 2.86090e+00 1.43045e-01
1.82612e-01 2.86235e+00 1.43117e-01
1.82824e-01 2.86380e+00 1.43190e-01
1.83036e-01 2.86525e+00 1.43262e-01
1.83249e-01 2.86670e+00 1.43335e-01
1.83462e-01 2.86816e+00 1.43408e-01
1.83675e-01 2.86961e+00 1.43481e-01
1.83888e-01 2.87107e+00 1.43553e-01
1.84102e-01 2.87253e+00 1.43627e-01
1.84316e-01 2.87399e+00 1.43700e-01
1.84530e-01 2.87545e+00 1.43773e-01
1.84744e-01 2.87692e+00 1.43846e-01
1.84959e-01 2.87839e+00 1.43919e-01
1.85174e-01 2.87986e+00 1.43993e-01
1.85389e-01 2.88203e+00 1.44101e-01
1.85604e-01 2.88424e+00 1.44212e-01
1.85820e-01 2.88646e+00 1.44323e-01
1.86035e-01 2.88868e+00 1.44434e-01
1.86251e-01 2.89091e+00 1.44545e-01
1.86468e-01 2.89314e+00 1.44657e-01
1.86684e-01 2.89536e+00 1.44768e-01
1.86901e-01 2.89759e+00 1.44880e-01
1.87118e-01 2.89983e+00 1.44991e-01
1.87336e-01 2.90207e+00 1.45103e-01
1.87553e-01 2.90430e+00 1.45215e-01
1.87771e-01 2.90655e+00 1.45327e-01
1.87989e-01 2.90879e+00 1.45440e-01
1.88208e-01 2.91104e+00 1.45552e-01
1.88426e-01 2.91329e+00 1.45664e-01
1.88645e-01 2.91554e+00 1.45777e-01
1.88864e-01 2.91860e+00 1.45930e-01
1.89083e-01 2.92182e+00 1.46091e-01
1.89303e-01 2.92504e+00 1.46252e-01
1.89523e-01 2.92827e+00 1.46413e-01
1.89743e-01 2.93150e+00 1.46575e-01
1.89963e-01 2.93473e+00 1.46736e-01
1.90184e-01 2.93797e+00 1.46898e-01
1.90405e-01 2.94121e+00 1.47060e-01
1.90626e-01 2.94445e+00 1.47222e-01
1.90848e-01 2.94770e+00 1.47385e-01
1.91069e-01 2.95095e+00 1.47547e-01
1.91291e-01 2.95420e+00 1.47710e-01
1.91513e-01 2.95746e+00 1.47873e-01
1.91736e-01 2.96073e+00 1.48036e-01
1.91959e-01 2.96399e+00 1.48200e-01
1.92182e-01 2.96726e+00 1.48363e-01
1.92405e-01 2.97102e+00 1.48551e-01
1.92628e-01 2.97541e+00 1.48770e-01
1.92852e-01 2.97980e+00 1.48990e-01
1.93076e-01 2.98420e+00 1.49210e-01
1.93300e-01 2.98861e+00 1.49430e-01
1.93525e-01 2.99302e+00 1.49651e-01
1.93750e-01 2.99744e+00 1.49872e-01
1.93975e-01 3.00186e+00 1.50093e-01
1.94200e-01 3.00628e+00 1.50314e-01
1.94425e-01 3.01071e+00 1.50536e-01
1.94651e-01 3.01515e+00 1.50758e-01
1.94877e-01 3.01959e+00 1.50980e-01
1.95104e-01 3.02404e+00 1.51202e-01
1.95330e-01 3.02849e+00 1.51425e-01
1.95557e-01 3.03295e+00 1.51647e-01
1.95784e-01 3.03741e+00 1.51870e-01
1.96012e-01 3.04188e+00 1.52094e-01
1.96239e-01 3.04722e+00 1.52361e-01
